Iteration,Xk,FXk
37,"[-0.035839, -0.11458, -0.022712, 0.24846, 0.017072, 0.14925, -0.082405, 0.085651, -0.05599, -0.13896, 0.15318, 0.23212, 0.17399, -0.048492, 0.028918, 0.12143, 0.23022, 0.094231, 0.087529, -0.025859, -0.019593, 0.05176, -0.12189, -0.36225, 0.26559, 0.10361, 0.0034318, 0.037629, -0.12311]",40.522
38,"[-0.034644, -0.11352, -0.022222, 0.24984, 0.018242, 0.15035, -0.081853, 0.086853, -0.055405, -0.13798, 0.15465, 0.23394, 0.1755, -0.047442, 0.029842, 0.12204, 0.23146, 0.09559, 0.088484, -0.025373, -0.018393, 0.052653, -0.12143, -0.36216, 0.2671, 0.10503, 0.0042038, 0.038479, -0.12245]",40.154
39,"[-0.035124, -0.11509, -0.024308, 0.25227, 0.018892, 0.15016, -0.085704, 0.088103, -0.058814, -0.14016, 0.15661, 0.2382, 0.17831, -0.048114, 0.027516, 0.11772, 0.23211, 0.096878, 0.087111, -0.030035, -0.018854, 0.051229, -0.12499, -0.36981, 0.26808, 0.10755, 0.0012841, 0.03704, -0.12518]",39.795
40,"[-0.033951, -0.11405, -0.023839, 0.25362, 0.020043, 0.15122, -0.085163, 0.089274, -0.058237, -0.1392, 0.15803, 0.23996, 0.17978, -0.047083, 0.028412, 0.11831, 0.23331, 0.098199, 0.088039, -0.029577, -0.017693, 0.052094, -0.12455, -0.36973, 0.26954, 0.10893, 0.0020364, 0.03786, -0.12454]",39.447
41,"[-0.034343, -0.1155, -0.025924, 0.25605, 0.020771, 0.15103, -0.088888, 0.090499, -0.061506, -0.1413, 0.15989, 0.24409, 0.18255, -0.047668, 0.026121, 0.11404, 0.23388, 0.099446, 0.086688, -0.03421, -0.018174, 0.050682, -0.12807, -0.37722, 0.27043, 0.1114, -0.0007992, 0.036414, -0.12718]",39.108
42,"[-0.033188, -0.11447, -0.025471, 0.25737, 0.021908, 0.15207, -0.088353, 0.091642, -0.060933, -0.14036, 0.16127, 0.2458, 0.18399, -0.046652, 0.026994, 0.11461, 0.23505, 0.10073, 0.087594, -0.033771, -0.017044, 0.051524, -0.12765, -0.37714, 0.27184, 0.11275, -6.189e-05, 0.03721, -0.12655]",38.773
43,"[-0.033508, -0.11582, -0.027568, 0.2598, 0.022726, 0.15188, -0.091988, 0.09286, -0.064091, -0.14239, 0.16305, 0.24983, 0.18673, -0.04716, 0.024724, 0.11037, 0.23557, 0.10195, 0.086264, -0.038413, -0.017549, 0.050124, -0.13116, -0.38451, 0.27267, 0.11521, -0.0028336, 0.035746, -0.12912]",38.447
44,"[-0.032367, -0.1148, -0.027129, 0.2611, 0.023852, 0.1529, -0.091456, 0.093979, -0.063519, -0.14146, 0.16439, 0.2515, 0.18814, -0.046155, 0.02558, 0.11092, 0.2367, 0.10321, 0.087151, -0.03799, -0.016446, 0.050947, -0.13075, -0.38442, 0.27404, 0.11654, -0.0021068, 0.036522, -0.1285]",38.13
45,"[-0.032611, -0.11604, -0.02923, 0.2635, 0.024744, 0.1527, -0.094965, 0.095175, -0.066543, -0.1434, 0.16608, 0.25542, 0.19082, -0.046585, 0.023341, 0.10673, 0.23716, 0.10439, 0.085849, -0.042602, -0.016972, 0.049555, -0.13423, -0.39163, 0.27478, 0.11898, -0.0048136, 0.035063, -0.13099]",37.817
46,"[-0.031487, -0.11503, -0.028807, 0.26477, 0.025856, 0.15369, -0.094438, 0.096269, -0.065976, -0.14249, 0.16738, 0.25705, 0.1922, -0.045594, 0.024176, 0.10727, 0.23826, 0.10562, 0.086715, -0.042198, -0.015897, 0.050357, -0.13383, -0.39154, 0.27611, 0.12028, -0.004102, 0.035817, -0.13038]",37.514
